Pe0	A	sigma	N	window_size	min_slope
500.0	1.0	0.0001	50	3	0.28114044915030434
500.0	1.0	0.0001	100	3	0.2304062126426872
500.0	1.0	0.0001	200	3	0.11402814674382603
500.0	1.0	0.0012000000000000001	50	3	0.20005519315255935
500.0	1.0	0.0012000000000000001	100	3	0.21539234052790127
500.0	1.0	0.0012000000000000001	200	3	0.1815369105305788
500.0	1.0	0.0023	50	3	0.2279440260410459
500.0	1.0	0.0023	100	4	0.2751671125414105
500.0	1.0	0.0023	200	5	0.24184729195284937
500.0	1.0	0.0034	50	3	0.17506245619402178
500.0	1.0	0.0034	100	3	0.23960047341906604
500.0	1.0	0.0034	200	9	0.290301060457108
500.0	1.0	0.0045000000000000005	50	3	0.30000177822954327
500.0	1.0	0.0045000000000000005	100	5	0.21871547288300014
500.0	1.0	0.0045000000000000005	200	5	0.21143221845777568
500.0	1.0	0.005600000000000001	50	4	0.2367401667578972
500.0	1.0	0.005600000000000001	100	3	0.1686779992574572
500.0	1.0	0.005600000000000001	200	9	0.27638611920637435
500.0	1.0	0.0067	50	3	0.2391350686350872
500.0	1.0	0.0067	100	3	0.2614952901715255
500.0	1.0	0.0067	200	7	0.22156157097864868
500.0	1.0	0.0078000000000000005	50	4	0.333979248465383
500.0	1.0	0.0078000000000000005	100	4	0.15358798533512313
500.0	1.0	0.0078000000000000005	200	12	0.18826904039630918
500.0	1.0	0.0089	50	3	0.21804900862077156
500.0	1.0	0.0089	100	7	0.24934292559400387
500.0	1.0	0.0089	200	6	0.23773231114942905
500.0	1.0	0.01	50	3	0.36403081691569117
500.0	1.0	0.01	100	6	0.227442501365902
500.0	1.0	0.01	200	9	0.24908690370218198
500.0	3.25	0.0001	50	3	0.3821389474026854
500.0	3.25	0.0001	100	3	0.2560315046029187
500.0	3.25	0.0001	200	3	0.41253148397448847
500.0	3.25	0.0012000000000000001	50	3	0.377306798315013
500.0	3.25	0.0012000000000000001	100	3	0.3963315853292102
500.0	3.25	0.0012000000000000001	200	3	0.49485453613005875
500.0	3.25	0.0023	50	3	0.4856311127239257
500.0	3.25	0.0023	100	3	0.2805247016444489
500.0	3.25	0.0023	200	3	0.23994872030709724
500.0	3.25	0.0034	50	3	0.4281877121274335
500.0	3.25	0.0034	100	3	0.29300966365112985
500.0	3.25	0.0034	200	4	0.33621900677499716
500.0	3.25	0.0045000000000000005	50	3	0.2585841836287346
500.0	3.25	0.0045000000000000005	100	3	0.38115235343676795
500.0	3.25	0.0045000000000000005	200	4	0.23139311676183147
500.0	3.25	0.005600000000000001	50	3	0.4652813180398348
500.0	3.25	0.005600000000000001	100	4	0.3610093048351283
500.0	3.25	0.005600000000000001	200	5	0.3759006736900543
500.0	3.25	0.0067	50	3	0.3086848587204429
500.0	3.25	0.0067	100	3	0.32436544174981496
500.0	3.25	0.0067	200	5	0.25238820372755594
500.0	3.25	0.0078000000000000005	50	3	0.2982434453624591
500.0	3.25	0.0078000000000000005	100	4	0.47323076660750196
500.0	3.25	0.0078000000000000005	200	7	0.4082978621028198
